2026-02-25 21:21:01,682 | INFO | trading_bot | SERVER STARTING...
2026-02-25 21:21:01,682 | INFO | trading_bot | STEP 1: Reading env variables
2026-02-25 21:21:01,682 | INFO | trading_bot | STEP 2: Creating strategy config
2026-02-25 21:21:01,682 | INFO | trading_bot | STEP 3: Creating registry
2026-02-25 21:21:01,683 | INFO | trading_bot | STEP 4: Creating exchange
2026-02-25 21:21:01,683 | INFO | trading_bot | MockExchange initialized
2026-02-25 21:21:01,683 | INFO | trading_bot | STEP 5: Creating execution engine
2026-02-25 21:21:01,683 | INFO | trading_bot | STEP 6: Initialization complete
2026-02-25 21:21:02,662 | INFO | trading_bot | SERVER STARTING...
2026-02-25 21:21:02,662 | INFO | trading_bot | STEP 1: Reading env variables
2026-02-25 21:21:02,671 | INFO | trading_bot | STEP 2: Creating strategy config
2026-02-25 21:21:02,672 | INFO | trading_bot | STEP 3: Creating registry
2026-02-25 21:21:02,672 | INFO | trading_bot | STEP 4: Creating exchange
2026-02-25 21:21:02,672 | INFO | trading_bot | MockExchange initialized
2026-02-25 21:21:02,673 | INFO | trading_bot | STEP 5: Creating execution engine
2026-02-25 21:21:02,673 | INFO | trading_bot | STEP 6: Initialization complete
2026-02-25 21:22:58,528 | INFO | trading_bot | Incoming webhook request: token=my_token
2026-02-25 21:22:58,529 | INFO | trading_bot | Webhook payload: {'secret': 'my_secret', 'side': 'buy', 'symbol': 'BTCUSDT'}
2026-02-25 21:22:58,529 | INFO | trading_bot | Signal received: buy BTCUSDT
2026-02-25 21:22:58,531 | INFO | trading_bot | Executing order for BTCUSDT | side=buy | state={'cycle_active': True, 'bias': 'UP', 'long_size': 1600.0, 'short_size': 42.1875, 'cycle_number': 4, 'blocked': True}
2026-02-25 21:22:58,531 | INFO | trading_bot | --- EXECUTION BTCUSDT | buy ---
2026-02-25 21:22:58,531 | INFO | trading_bot | [MOCK] Opening position: BUY BTCUSDT for 6 USDT
2026-02-25 21:22:58,531 | INFO | trading_bot | [MOCK] Price for BTCUSDT: 1957.43
